From,To,Element,Threshold,Groups
Olfactory_L_t_1,Thalamus_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Pallidum_L_t_0,Amygdala_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Pallidum_L_t_1,Amygdala_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Pallidum_R_t_0,Frontal_Med_Orb_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Pallidum_R_t_1,Frontal_Med_Orb_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Parietal_Inf_R_t_0,Paracentral_Lobule_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Parietal_Inf_R_t_1,Paracentral_Lobule_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Putamen_L_t_0,Cerebelum_10_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Putamen_L_t_1,Cerebelum_10_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Putamen_L_t_1,Pallidum_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
school_yrs.y_t_0,Cerebelum_7b_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
school_yrs.y_t_0,Cerebelum_Crus1_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
school_yrs.y_t_0,Cuneus_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
school_yrs.y_t_0,Pallidum_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
school_yrs.y_t_0,Temporal_Pole_Mid_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
school_yrs.y_t_1,Cerebelum_7b_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
school_yrs.y_t_1,Cerebelum_Crus1_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
school_yrs.y_t_1,Cuneus_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
school_yrs.y_t_1,Pallidum_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
school_yrs.y_t_1,Temporal_Pole_Mid_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Supp_Motor_Area_R_t_0,Paracentral_Lobule_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Supp_Motor_Area_R_t_1,Paracentral_Lobule_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Temporal_Mid_R_t_0,Temporal_Pole_Sup_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Temporal_Mid_R_t_1,Temporal_Pole_Sup_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Temporal_Pole_Mid_R_t_0,Caudate_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Temporal_Pole_Mid_R_t_0,Cuneus_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Temporal_Pole_Mid_R_t_0,ParaHippocampal_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Temporal_Pole_Mid_R_t_1,Caudate_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Temporal_Pole_Mid_R_t_1,Cuneus_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Temporal_Pole_Mid_R_t_1,ParaHippocampal_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Vermis_1_2_t_0,Caudate_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Vermis_1_2_t_1,Caudate_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Vermis_9_t_0,Postcentral_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Vermis_9_t_1,Postcentral_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
wkmnup_t_0,Cerebelum_10_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
wkmnup_t_0,Frontal_Inf_Oper_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
wkmnup_t_0,Frontal_Mid_Orb_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
wkmnup_t_0,ns1_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
wkmnup_t_0,Occipital_Sup_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
wkmnup_t_0,Olfactory_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
wkmnup_t_0,Vermis_8_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
wkmnup_t_1,Cerebelum_10_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
wkmnup_t_1,Frontal_Inf_Oper_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
wkmnup_t_1,Frontal_Mid_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
wkmnup_t_1,Frontal_Mid_Orb_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
wkmnup_t_1,ns1_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
wkmnup_t_1,Occipital_Sup_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
wkmnup_t_1,Olfactory_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
wkmnup_t_1,Vermis_6_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
wkmnup_t_1,Vermis_8_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Cerebelum_Crus2_R_t_0,Cerebelum_6_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Cerebelum_Crus2_R_t_1,Cerebelum_6_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Cingulum_Ant_R_t_0,Caudate_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
